0.050000 0.050000 0.200000 0.600000 0 0 0 0 0 0 2
10225017701 25T_DT3 Nguyen Van An -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017702 25T_DT1 Tran Thi Binh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017703 25T_DT4 Le Van Cuong -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017704 25T_DT2 Pham Thi Dung -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017705 25T_DT3 Hoang Van Em -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017706 25T_DT1 Nguyen Thi Hoa -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017707 25T_DT2 Tran Van Hung -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017708 25T_DT4 Le Thi Lan -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017709 25T_DT3 Pham Van Minh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017710 25T_DT2 Hoang Thi Ngoc -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017711 25T_DT4 Nguyen Van Nam -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017712 25T_DT1 Tran Thi Oanh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017713 25T_DT3 Le Van Phuc -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017714 25T_DT2 Pham Thi Quynh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017715 25T_DT4 Hoang Van Son -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017716 25T_DT1 Nguyen Thi Trang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017717 25T_DT3 Tran Van Tuan -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017718 25T_DT2 Le Thi Uyen -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017719 25T_DT4 Pham Van Vinh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017720 25T_DT1 Hoang Thi Xuan -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017721 25T_DT3 Nguyen Van Yen -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017722 25T_DT2 Tran Thi Anh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017723 25T_DT4 Le Van Bao -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017724 25T_DT1 Pham Thi Chi -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017725 25T_DT3 Hoang Van Duy -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017726 25T_DT2 Nguyen Thi Giang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017727 25T_DT4 Tran Van Hai -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017728 25T_DT1 Le Thi Khoa -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017729 25T_DT3 Pham Van Long -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017730 25T_DT2 Hoang Thi Mai -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017731 25T_DT4 Nguyen Van Nghia -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017732 25T_DT1 Tran Thi Phuong -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017733 25T_DT3 Le Van Quang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017734 25T_DT2 Pham Thi Hanh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017735 25T_DT4 Hoang Van Khanh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017736 25T_DT1 Nguyen Thi Linh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
