0.100000 0.100000 0.200000 0.400000 0 0 0 0 0 0 40
10225017724 25T_DT1 Pham Thi Chi -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017725 25T_DT3 Hoang Van Duy -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017726 25T_DT2 Nguyen Thi Giang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017727 25T_DT4 Tran Van Hai -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017728 25T_DT1 Le Thi Khoa -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017729 25T_DT3 Pham Van Long -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017730 25T_DT2 Hoang Thi Mai -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017731 25T_DT4 Nguyen Van Nghia -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017732 25T_DT1 Tran Thi Phuong -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
10225017733 25T_DT3 Le Van Quang -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
