0.100000 0.100000 0.200000 0.400000 0 0 0 0 0 0 4
10225017701 25T_DT3 Nguyen Van An 10.000000 9.500000 9.000000 10.000000 10.000000 10.000000
10225017702 25T_DT1 Tran Thi Binh 7.500000 2.000000 7.500000 8.000000 8.000000 7.500000
10225017703 25T_DT4 Le Van Cuong 7.500000 3.000000 8.000000 7.500000 8.000000 7.500000
10225017704 25T_DT2 Pham Thi Dung 8.000000 6.000000 8.000000 8.500000 8.000000 8.500000
10225017705 25T_DT3 Hoang Van Em 7.500000 7.500000 8.000000 7.500000 8.000000 7.500000
10225017706 25T_DT1 Nguyen Thi Hoa 8.500000 9.000000 8.500000 9.000000 8.500000 8.500000
10225017707 25T_DT2 Tran Van Hung 9.500000 8.000000 9.500000 9.000000 9.500000 9.500000
10225017708 25T_DT4 Le Thi Lan 7.500000 8.000000 7.500000 8.000000 8.000000 7.500000
10225017709 25T_DT3 Pham Van Minh 7.500000 7.500000 8.000000 7.500000 8.000000 7.500000
10225017710 25T_DT2 Hoang Thi Ngoc 8.000000 8.500000 8.000000 8.500000 8.000000 10.000000
10225017711 25T_DT4 Nguyen Van Nam 7.000000 7.500000 7.000000 7.500000 7.500000 7.000000
10225017712 25T_DT1 Tran Thi Oanh 8.500000 8.500000 9.000000 8.500000 9.000000 8.500000
10225017713 25T_DT3 Le Van Phuc 8.000000 8.500000 8.000000 8.500000 8.000000 8.000000
10225017714 25T_DT2 Pham Thi Quynh 8.500000 9.000000 8.500000 9.000000 8.500000 8.500000
10225017715 25T_DT4 Hoang Van Son 9.000000 8.500000 9.000000 9.500000 9.000000 9.000000
10225017716 25T_DT1 Nguyen Thi Trang 9.000000 8.500000 9.000000 9.000000 9.500000 10.000000
10225017717 25T_DT3 Tran Van Tuan 7.500000 8.000000 7.500000 8.000000 8.000000 7.500000
10225017718 25T_DT2 Le Thi Uyen 9.500000 9.000000 9.500000 9.000000 9.500000 9.500000
10225017719 25T_DT4 Pham Van Vinh 8.500000 8.000000 8.500000 8.500000 9.000000 8.500000
10225017720 25T_DT1 Hoang Thi Xuan 7.000000 7.500000 7.000000 7.500000 8.000000 7.500000
10225017721 25T_DT3 Nguyen Van Yen 8.000000 8.500000 8.000000 8.500000 8.000000 8.000000
10225017722 25T_DT2 Tran Thi Anh 9.000000 9.000000 9.500000 9.000000 9.000000 9.000000
10225017723 25T_DT4 Le Van Bao 8.500000 8.000000 8.500000 8.500000 8.500000 8.500000
10225017724 25T_DT1 Pham Thi Chi 8.500000 8.500000 9.000000 8.500000 9.000000 8.500000
10225017725 25T_DT3 Hoang Van Duy 6.500000 7.000000 6.500000 7.000000 7.500000 7.000000
10225017726 25T_DT2 Nguyen Thi Giang 7.500000 8.000000 7.500000 8.000000 8.000000 7.500000
10225017727 25T_DT4 Tran Van Hai 8.500000 9.000000 8.500000 9.000000 8.500000 8.500000
10225017728 25T_DT1 Le Thi Khoa 8.500000 9.000000 8.500000 8.500000 9.000000 8.500000
10225017729 25T_DT3 Pham Van Long 9.000000 8.500000 9.000000 8.500000 9.000000 9.000000
10225017730 25T_DT2 Hoang Thi Mai 9.000000 9.000000 8.500000 9.000000 9.000000 9.000000
10225017731 25T_DT4 Nguyen Van Nghia 8.500000 8.000000 8.500000 8.500000 9.000000 8.500000
10225017732 25T_DT1 Tran Thi Phuong 8.000000 8.500000 8.000000 8.500000 8.500000 8.000000
10225017733 25T_DT3 Le Van Quang 9.000000 9.000000 8.500000 9.000000 9.000000 9.000000
10225017734 25T_DT2 Pham Thi Hanh 7.000000 7.500000 7.000000 7.500000 7.500000 7.000000
10225017735 25T_DT4 Hoang Van Khanh 8.000000 8.000000 8.500000 8.000000 8.500000 8.000000
10225017736 25T_DT1 Nguyen Thi Linh 8.000000 8.000000 8.500000 8.000000 8.500000 8.000000
10225017737 25T_DT3 Tran Van Duc 7.000000 7.000000 7.500000 7.000000 7.500000 7.000000
10225017738 25T_DT2 Le Thi Nhung 8.000000 8.500000 8.000000 8.500000 8.500000 8.500000
10225017739 25T_DT4 Pham Van Tai 8.000000 8.500000 8.000000 8.500000 8.500000 8.000000
10225017740 25T_DT1 Hoang Thi Yen 8.500000 8.500000 9.000000 8.500000 9.000000 8.500000
10225017741 25T_DT2 Do Minh Quang 7.500000 8.000000 7.000000 7.500000 8.000000 7.500000
10225017747 25T_DT2 Pham Thanh Ly 9.500000 9.000000 9.500000 9.500000 9.500000 9.500000
10225017748 25T_DT4 Pham Thanh Pho 7.500000 8.000000 7.500000 8.000000 8.000000 7.500000
10225017749 25T_DT4 Le Van A 7.000000 7.000000 7.500000 7.000000 7.500000 7.000000
10225017750 25t4 Nguyen Quoc Khanh 8.500000 8.500000 9.000000 8.500000 9.000000 8.500000
10225017751 25_dt10 Bui Hoang Long 8.500000 8.000000 8.500000 9.000000 8.500000 8.500000
10225017752 25T_DT1 Supachok 8.500000 8.500000 9.000000 8.500000 8.500000 8.500000
10225017753 25T_DT6 Le Nguyen Binh 8.000000 8.500000 8.000000 8.500000 8.000000 8.000000
10225017754 25_AI1 Nguyen Hoang 7.500000 8.000000 7.500000 8.000000 8.000000 7.500000
10225017755 30T_DT2 Le Van Khanh -1.000000 -1.000000 -1.000000 -1.000000 -1.000000 -1.000000
